Time,TI3104_Meas - OP Value,TI3107_Meas - OP Value,TI3105_Meas - OP Value,TC3106_Meas - OP Value,TI3108_Meas - OP Value,TI3101_Meas - OP Value,PI3102_Meas - OP Value,PI3103_Meas - OP Value,FC3101_Meas - OP Value,FI3105_Meas - OP Value,FI3104_Meas - OP Value,FC3103_Meas - OP Value,FC3102_Meas - OP Value,LC3103_Meas - OP Value,LC3101_Meas - OP Value,QI3105 - PV,QI3104 - PV
37020,54.3262,61.9698,69.8833,76.2154,98.0212,52.6291,16.89,17.0577,12.0147,7.16981,4.77403,11.2825,1.99462,-0.428606,-0.0895,97.0998,96.1588
36960,53.3706,63.0336,69.1156,76.9774,98.6355,51.8426,16.9254,17.093,12.1065,7.09753,4.78423,11.4148,2.05147,-0.478997,0.1595,97.0998,96.1588
36900,54.2368,62.3191,69.0342,75.3598,97.3408,51.7706,16.914,17.047,11.931,7.15361,4.72105,11.3154,2.01673,0.08125,-0.00275,97.0998,96.1588
36840,53.4382,58.8836,70.3121,75.9668,97.8106,53.0965,16.8273,17.0653,12.0293,7.08264,4.73619,10.9449,1.94035,-0.1885,-0.8055,97.0998,96.1588
36780,55.0347,61.0597,70.2395,76.2184,98,53.0381,16.8718,17.0675,12.0178,7.21838,4.80949,11.1621,1.96077,0.0925,-0.27925,97.3074,96.3697
36720,54.0009,61.0882,69.1273,75.5677,97.4759,51.9111,16.8688,17.0425,11.9798,7.1621,4.74752,11.1804,1.97303,0.08,-0.2695,97.3074,96.3697
36660,54.2007,61.1184,70.4348,75.0774,97.0928,53.2316,16.8695,17.0253,11.8932,7.26551,4.7712,11.1607,1.95481,-0.03575,-0.2665,97.3074,96.3697
36600,54.2006,63.0613,70.1907,76.5245,98.2522,52.9805,16.9153,17.072,12.0248,7.26081,4.83695,11.3837,2.00847,0.1045,0.1915,97.3074,96.3697
36540,54.9908,61.6264,69.3838,75.7006,97.6031,52.1468,16.8843,17.0473,11.965,7.28804,4.80756,11.209,1.96114,0.1445,-0.1535,97.3074,96.3697
36480,54.7545,61.186,69.5403,75.4433,97.3951,52.3029,16.8729,17.0366,11.9199,7.47139,4.85249,11.1276,1.906,0.512,-0.26275,96.9837,96.5084
36420,53.2397,62.0828,68.9787,75.6343,97.5417,51.7355,16.8934,17.0427,11.9649,7.26221,4.77055,11.2809,1.9873,0.3215,-0.047,96.9837,96.5084
36360,54.288,63.4878,69.5613,75.432,97.3828,52.3194,16.9309,17.0389,11.8911,7.40675,4.80868,11.4089,1.99235,0.72175,0.28175,96.9837,96.5084
36300,53.8139,60.8767,69.3468,77.763,99.2499,52.1032,16.8737,17.1224,12.2167,7.06945,4.82878,11.1721,1.99612,-0.31575,-0.3385,96.9837,96.5084
36240,54.1728,61.6064,70.2552,76.0846,97.907,53.0355,16.8924,17.0693,12.0016,7.17425,4.7791,11.2358,2.00068,-0.0365,-0.15875,96.9837,96.5084
36180,53.7812,61.9403,69.2669,75.9499,97.7887,52.0484,16.8952,17.0616,12.0296,6.98601,4.7131,11.3084,2.05104,-0.4575,-0.0685,97.2354,96.2543
36120,53.0717,61.9994,69.4414,75.8744,97.712,52.2397,16.8857,17.049,12.0102,7.07771,4.72583,11.3099,2.02984,-0.00725,-0.04675,97.2354,96.2543
36060,54.3398,61.5881,70.0822,74.8467,96.8981,52.8766,16.8758,17.0122,11.8686,7.20374,4.72908,11.226,1.97049,0.0185,-0.15575,97.2354,96.2543
36000,54.5921,62.4816,69.7595,75.8081,97.6804,52.5298,16.9037,17.0496,11.9605,7.27886,4.81094,11.3089,1.98797,0.01175,0.04875,97.2354,96.2543
35940,53.927,60.5344,70.9936,77.3198,98.8933,53.7782,16.8618,17.1035,12.126,7.13896,4.82695,11.1181,1.9639,-0.123,-0.42025,97.2354,96.2543
35880,52.6118,61.0744,69.6594,76.0543,97.8736,52.4284,16.8753,17.0627,12.0004,7.26554,4.77924,11.1666,1.96084,0.593,-0.288,97.2467,96.4845
35820,54.2961,60.7827,69.5944,75.708,97.5937,52.3712,16.8684,17.0531,12.0029,7.0363,4.72926,11.157,1.99775,-0.59725,-0.34875,97.2467,96.4845
35760,53.5745,63.5304,69.4471,76.2737,98.0419,52.2234,16.9319,17.0703,12.0256,7.17045,4.79745,11.452,2.05916,-0.206,0.307,97.2467,96.4845
35700,55.013,63.7041,68.6987,75.3187,97.2754,51.4606,16.9362,17.038,11.9026,7.43592,4.83368,11.4193,1.99686,0.5785,0.346,97.2467,96.4845
35640,53.8024,63.2452,69.1115,77.2969,98.8637,51.8799,16.929,17.1083,12.1473,7.1687,4.85735,11.4168,2.05286,-0.34125,0.23775,97.2467,96.4845
35580,53.4396,61.8753,69.836,76.0319,97.8371,52.6331,16.8907,17.0615,12.0086,7.15201,4.76332,11.2736,2.01048,0.086,-0.0815,97.1916,95.9064
35520,55.0812,61.777,69.3407,75.6496,97.5347,52.1242,16.888,17.0481,11.9714,7.23929,4.79587,11.2348,1.9818,-0.01525,-0.10575,97.1916,95.9064
35460,53.663,61.202,69.6509,76.4151,98.1359,52.4478,16.87,17.0693,12.0772,7.01793,4.75664,11.2137,2.00663,-0.56225,-0.24125,97.1916,95.9064
35400,55.4531,62.911,68.8118,76.4783,98.2089,51.5693,16.9212,17.0799,12.0326,7.39903,4.88648,11.3301,1.97696,0.423,0.153,97.1916,95.9064
35340,54.0292,61.3331,69.5515,74.6793,96.7586,52.3364,16.8805,17.0184,11.8603,7.2843,4.7365,11.1856,1.96421,0.38075,-0.21425,97.1916,95.9064
35280,53.9348,63.2413,70.0436,75.5679,97.474,52.8369,16.9284,17.0508,11.9267,7.22435,4.76324,11.4129,2.03714,0.31875,0.241,97.4763,96.5223
35220,54.9462,62.2646,69.7689,75.3507,97.2894,52.5705,16.8995,17.0392,11.9274,7.23748,4.80236,11.2916,1.99491,-0.00675,0.0774794,97.4763,96.5223
35160,54.7401,63.7815,69.4415,76.3778,98.1249,52.2258,16.9387,17.075,12.0279,7.24118,4.83685,11.4661,2.04434,-0.16975,0.36975,97.4763,96.5223
35100,53.9052,64.0137,68.7349,76.9633,98.5922,51.5154,16.9401,17.0919,12.1096,7.16661,4.85758,11.516,2.07312,0.0945,0.522535,97.4763,96.5223
35040,54.2031,62.1564,69.1906,76.2737,98.0385,51.9764,16.8899,17.0615,12.0269,7.35677,4.85923,11.2644,1.96281,0.3345,-0.01275,97.4763,96.5223
34980,54.3717,61.6388,69.401,76.2872,98.0581,52.1776,16.8793,17.062,12.042,7.17036,4.79652,11.2357,1.97959,-0.17275,-0.1445,97.0922,96.2147
34920,54.1219,59.7995,69.0237,75.8772,97.735,51.7814,16.8374,17.049,12.0213,7.23735,4.78924,11.0199,1.91656,-0.0390699,-0.58875,97.0922,96.2147
34860,54.1494,61.1755,69.8121,74.4934,96.632,52.5768,16.874,17.0061,11.8345,7.28124,4.71479,11.1721,1.95788,0.123517,-0.2655,97.0922,96.2147
34800,53.4199,61.1836,69.9668,74.3373,96.5045,52.7369,16.8764,17.0034,11.814,7.20792,4.6761,11.1856,1.96749,0.282486,-0.26325,97.0922,96.2147
34740,54.5833,63.0087,70.4593,75.1113,97.1344,53.2318,16.9286,17.0376,11.8701,7.19192,4.72727,11.3905,2.03351,-0.0593861,0.16775,97.0922,96.2147
34680,53.2946,61.1029,69.3097,76.3545,98.1124,52.0867,16.8768,17.0758,12.074,7.12024,4.78927,11.1847,1.99592,-0.4555,-0.26975,97.317,96.5561
34620,54.4514,60.4569,70.3663,75.2139,97.198,53.1683,16.857,17.0336,11.919,7.30722,4.80267,11.0755,1.92992,-0.13275,-0.42025,97.317,96.5561
34560,54.277,60.5685,69.8533,76.8487,98.5012,52.6546,16.8541,17.0832,12.101,7.21213,4.82734,11.1151,1.9482,0.34575,-0.389,97.317,96.5561
34500,53.8263,60.5325,69.8503,76.6616,98.3556,52.6407,16.8502,17.0722,12.0899,7.17766,4.81765,11.1181,1.95149,-0.1665,-0.405,97.317,96.5561
34440,53.2019,62.6877,70.3483,75.0091,97.0435,53.1342,16.9046,17.0187,11.8925,7.00619,4.67068,11.3921,2.05323,-0.66375,0.10025,97.317,96.5561
34380,53.8701,62.1168,70.1869,77.0345,98.671,52.9565,16.896,17.09,12.0954,7.19127,4.81601,11.3002,2.00601,-0.0556853,-0.043,97.2974,96.5455
34320,54.4857,59.557,69.1639,76.5978,98.3187,51.9181,16.8367,17.0775,12.0958,7.16507,4.80118,10.9971,1.91678,-0.11687,-0.65125,97.2974,96.5455
34260,54.1504,64.2867,68.8122,76.6188,98.3461,51.5537,16.9563,17.0849,12.0577,7.22635,4.82008,11.5327,2.06961,-0.21581,0.47175,97.2974,96.5455
34200,53.88,59.8641,69.7476,76.8163,98.492,52.5274,16.8446,17.0881,12.1213,7.08592,4.79254,11.0532,1.96011,-0.221,-0.566,97.2974,96.5455
34140,53.9106,61.6998,69.2501,74.3527,96.5087,52.0287,16.8788,16.996,11.829,7.32089,4.74392,11.2239,1.95606,0.21175,-0.12675,97.2974,96.5455
34080,54.8537,61.5207,69.6155,75.3387,97.31,52.386,16.8797,17.0327,11.9278,7.21603,4.76691,11.2093,1.96353,-0.04275,-0.1775,97.5443,96.3357
34020,55.3115,63.4041,69.3292,77.0471,98.6787,52.0869,16.9258,17.0898,12.096,7.21768,4.86621,11.4242,2.02062,-0.259487,0.26525,97.5443,96.3357
33960,54.3979,61.2045,68.5047,76.0765,97.9081,51.2403,16.8785,17.0619,12.0307,7.31969,4.84559,11.1561,1.94251,-0.125,-0.26275,97.5443,96.3357
33900,55.2262,61.6831,68.884,76.8456,98.5228,51.6315,16.8916,17.0904,12.1064,7.17397,4.84057,11.2281,1.97966,-0.3085,-0.14525,97.5443,96.3357
33840,53.8588,61.5443,69.4692,76.0609,97.8931,52.2351,16.8876,17.0646,12.0086,7.19945,4.77985,11.224,1.98375,0.2245,-0.1735,97.5443,96.3357
33780,53.7838,61.4537,69.2561,75.7398,97.6225,52.0307,16.8779,17.047,11.981,7.28119,4.79389,11.2064,1.96433,0.2785,-0.1895,96.9354,96.21
33720,53.3937,62.246,69.4511,75.5367,97.4659,52.2233,16.8977,17.0407,11.9498,7.23486,4.7765,11.2979,1.99278,-0.00725,-0.0035,96.9354,96.21
33660,52.9284,63.5803,69.421,75.9444,97.7946,52.1897,16.9301,17.0543,11.9862,7.21098,4.78439,11.464,2.04918,-0.10725,0.3115,96.9354,96.21
33600,54.306,63.0091,70.3078,74.7335,96.8292,53.0916,16.9179,17.0155,11.8318,7.19494,4.71598,11.3889,2.01965,0.092,0.176,96.9354,96.21
33540,52.9771,63.0781,69.6856,76.3769,98.1471,52.4553,16.9203,17.0707,12.0308,7.205,4.8087,11.4027,2.03372,-0.14425,0.191,96.9354,96.21
