Time,TI3104_Meas - OP Value,TI3107_Meas - OP Value,TI3105_Meas - OP Value,TC3106_Meas - OP Value,TI3108_Meas - OP Value,TI3101_Meas - OP Value,PI3102_Meas - OP Value,PI3103_Meas - OP Value,FC3101_Meas - OP Value,FI3105_Meas - OP Value,FI3104_Meas - OP Value,FC3103_Meas - OP Value,FC3102_Meas - OP Value,LC3103_Meas - OP Value,LC3101_Meas - OP Value,QI3105 - PV,QI3104 - PV
33780,53.7863,61.4498,69.2576,75.7343,97.6147,52.032,16.8793,17.0484,11.9809,7.28213,4.79371,11.2062,1.96834,0.2785,-0.1895,96.9316,96.5067
33720,53.3908,62.2341,69.4475,75.5145,97.4423,52.2226,16.8981,17.041,11.9498,7.23567,4.77627,11.2979,1.9973,-0.00725,-0.0035,96.9316,96.5067
33660,52.9263,63.5672,69.4172,75.919,97.7692,52.1883,16.9303,17.0545,11.9862,7.21174,4.78405,11.4639,2.05342,-0.10725,0.3115,96.9316,96.5067
33600,54.2998,62.9938,70.3008,74.699,96.7956,53.0882,16.9176,17.0153,11.8318,7.19558,4.7157,11.3887,2.02348,0.092,0.176,96.9316,96.5067
33540,52.9768,63.0771,69.6862,76.3698,98.1361,52.4585,16.9204,17.0707,12.0309,7.20598,4.80827,11.404,2.03512,-0.14425,0.191,96.9316,96.5067
33480,54.9917,60.7624,67.9427,77.0488,98.6826,50.6849,16.8654,17.0946,12.1648,7.18802,4.84499,11.1355,1.96328,-0.05875,-0.356,97.1227,96.6189
33420,53.7634,60.1545,68.9323,75.3835,97.338,51.7015,16.8433,17.0311,11.9652,7.30201,4.79467,11.0495,1.91415,0.08725,-0.49875,97.1227,96.6189
33360,53.9283,62.7346,69.0971,75.454,97.4027,51.8576,16.9083,17.036,11.9439,7.18182,4.74643,11.3665,2.01838,0.0025,0.10875,97.1227,96.6189
33300,54.2315,64.1237,70.3842,75.5611,97.4997,53.1549,16.9461,17.0432,11.9063,7.21897,4.77021,11.5151,2.05699,-0.06475,0.433,97.1227,96.6189
33240,54.7715,64.0359,69.6893,76.996,98.6441,52.4559,16.9445,17.0927,12.0812,7.12847,4.81387,11.5192,2.0705,-0.08475,0.4165,97.1227,96.6189
33180,53.982,61.0389,69.9855,76.0413,97.8842,52.7506,16.8732,17.0603,11.991,7.3641,4.84312,11.1383,1.93949,0.27525,-0.2995,97.2226,96.3907
33120,55.0151,61.7701,69.9192,75.8534,97.7287,52.6931,16.8878,17.0524,11.9643,7.29727,4.82024,11.2228,1.96277,0.2075,-0.11925,97.2226,96.3907
33060,54.2048,61.7231,70.361,75.9779,97.817,53.1464,16.8818,17.0513,11.9838,7.13595,4.76432,11.253,1.98993,-0.1335,-0.1305,97.2226,96.3907
33000,55.2611,62.8445,68.8666,75.4568,97.4116,51.6085,16.915,17.0388,11.922,7.36839,4.81992,11.3333,1.97812,0.3005,0.12775,97.2226,96.3907
32940,54.0397,61.7703,68.2786,76.397,98.1573,51.0159,16.8893,17.0711,12.0761,7.11644,4.77903,11.2602,2.0039,-0.2145,-0.123,97.2226,96.3907
32880,55.359,62.1188,69.4168,76.0568,97.8768,52.1789,16.8959,17.0584,11.9907,7.31436,4.83899,11.2588,1.96935,0.19275,-0.0375,97.142,96.2891
32820,54.2319,64.5283,69.2487,76.0619,97.89,51.9956,16.9609,17.065,11.9607,7.38312,4.85057,11.5253,2.0385,0.36325,0.52775,97.142,96.2891
32760,55.3472,62.1037,70.3938,74.7922,96.8705,53.1737,16.907,17.0287,11.8414,7.19284,4.72538,11.2746,1.99942,0.0805,-0.041,97.142,96.2891
32700,55.7621,61.9703,69.5755,75.1926,97.176,52.3604,16.8977,17.0385,11.909,7.26377,4.77899,11.2521,1.98902,0.2005,-0.05875,97.142,96.2891
32640,55.3284,62.9725,69.895,75.482,97.3953,52.6963,16.9131,17.0398,11.9221,7.3324,4.8291,11.3546,1.99768,0.11,0.1845,97.142,96.2891
32580,53.3097,60.8897,69.2321,78.1502,99.5337,52.0153,16.8635,17.1276,12.2461,7.29849,4.92692,11.1407,1.95242,0.407,-0.317,97.2388,96.2752
32520,54.6245,62.286,69.4102,76.6222,98.3153,52.1918,16.8987,17.0784,12.0628,7.17454,4.8025,11.3146,2.00879,0.3165,0.013,97.2388,96.2752
32460,54.7222,62.0797,70.4901,76.5019,98.2208,53.2843,16.8952,17.0746,12.0382,7.12859,4.80388,11.2909,2.00684,-0.32675,-0.0415,97.2388,96.2752
32400,54.0737,61.2694,69.2039,75.3844,97.3248,51.977,16.8765,17.0388,11.9561,7.14773,4.73133,11.2053,1.99176,0.0615,-0.231,97.2388,96.2752
32340,55.1448,62.4869,69.5501,74.696,96.7685,52.3273,16.9053,17.0144,11.8461,7.30241,4.76613,11.3068,1.98222,0.01975,0.05375,97.2388,96.2752
32280,54.1855,61.3533,69.417,76.1546,97.9595,52.1763,16.8925,17.0772,12.0244,7.28673,4.83642,11.1812,1.97422,-0.0885,-0.221,97.4946,96.6956
32220,52.8564,61.5245,69.8896,73.9287,96.1584,52.6875,16.89,17.0001,11.8079,7.05167,4.63,11.2536,2.03923,-0.3695,-0.16175,97.4946,96.6956
32160,53.0613,61.9789,69.4093,76.3599,98.0894,52.2128,16.8918,17.0725,12.063,7.17618,4.82899,11.288,2.01585,-0.12525,0.0232988,97.4946,96.6956
32100,54.252,62.7957,68.4547,75.7688,97.6143,51.2457,16.9064,17.048,12.0053,7.17283,4.84075,11.3731,2.02253,-0.0835,0.346315,97.4946,96.6956
32040,55.0528,62.1182,69.1471,76.7207,98.4016,51.9267,16.897,17.0834,12.0831,7.31801,4.89258,11.2598,1.96802,-0.22675,-0.02875,97.4946,96.6956
31980,54.6446,61.5451,69.9435,76.1305,97.9365,52.742,16.8839,17.0656,12.0136,7.21568,4.8335,11.227,1.98358,0.1685,-0.0574507,97.3379,96.4201
31920,54.4004,62.0004,69.7391,74.6315,96.7363,52.5365,16.8881,17.0088,11.8532,7.26261,4.79416,11.2704,1.98363,0.1085,0.112507,97.3379,96.4201
31860,54.4521,62.5056,69.4212,75.6584,97.5553,52.211,16.8923,17.0339,11.9705,7.14172,4.75142,11.3494,2.00739,-0.24825,0.06675,97.3379,96.4201
31800,55.756,61.9759,69.0663,75.2241,97.2228,51.8279,16.8836,17.0207,11.9096,7.31702,4.79132,11.2457,1.9445,0.09725,-0.07225,97.3379,96.4201
31740,54.0672,61.0505,69.492,75.2932,97.2941,52.2425,16.8686,17.0286,11.9169,7.32477,4.75428,11.1579,1.94081,0.427463,-0.30175,97.3379,96.4201
31680,53.0923,59.8127,69.1629,77.2011,98.8217,51.9085,16.8391,17.0933,12.1714,7.061,4.78154,11.0599,1.96199,-0.227756,-0.592,97.6099,96.3266
31620,54.7316,62.8476,69.2634,76.1221,97.9437,52.0105,16.9042,17.0489,12.0041,7.22219,4.79786,11.368,2.0043,-0.279872,0.12775,97.6099,96.3266
31560,54.5748,62.176,68.4698,76.0288,97.877,51.1892,16.8977,17.0546,12.0153,7.15211,4.72002,11.3172,2.01473,0.145665,-0.0395,97.6099,96.3266
31500,54.5363,60.3976,69.7046,75.7308,97.6367,52.4484,16.8607,17.0508,11.9805,7.18877,4.72791,11.1037,1.96165,-0.0230716,-0.461,97.6099,96.3266
31440,54.9242,61.0374,69.2918,75.9945,97.844,52.0365,16.8794,17.0644,12.0035,7.29587,4.7969,11.1499,1.95748,0.12021,-0.3035,97.6099,96.3266
31380,53.9949,63.5878,68.0981,76.191,97.9932,50.8376,16.9393,17.0725,12.0398,7.15635,4.78616,11.4578,2.06098,-0.157,0.31525,97.5211,96.0496
31320,54.1909,62.7896,69.2789,76.4098,98.1518,52.0571,16.9115,17.0726,12.0516,7.15752,4.79946,11.374,2.03627,-0.097,0.1355,97.5211,96.0496
31260,54.4284,62.6531,70.8348,77.0322,98.6513,53.6356,16.9077,17.0911,12.064,7.26905,4.8658,11.3337,1.99433,0.25775,0.09625,97.5211,96.0496
31200,53.124,61.8353,68.2208,77.1579,98.7638,50.967,16.8936,17.1004,12.168,7.14429,4.82636,11.2725,2.01742,-0.196728,-0.10125,97.5211,96.0496
31140,54.6169,62.2468,69.6926,75.7181,97.6048,52.4765,16.9002,17.0507,11.9772,7.08255,4.74237,11.3189,2.0273,-0.2815,0.004,97.5211,96.0496
31080,54.899,60.1276,70.0373,77.7044,99.1946,52.8235,16.8464,17.1129,12.193,7.19299,4.88508,11.0585,1.93593,-0.0515,-0.503,97.6065,96.348
31020,53.8447,64.0973,70.0571,74.6582,96.759,52.8403,16.9407,17.0098,11.8136,7.23773,4.71833,11.5117,2.04796,0.261005,0.43675,97.6065,96.348
30960,54.1623,61.6243,69.5989,75.8165,97.6868,52.3751,16.883,17.0501,11.988,7.12436,4.7501,11.2444,1.99528,-0.102,-0.15,97.6065,96.348
30900,54.6791,63.2648,68.7367,76.6831,98.3871,51.4891,16.924,17.0807,12.0659,7.3168,4.86218,11.3995,2.01749,0.29789,0.23825,97.6065,96.348
30840,54.1018,60.5441,69.3416,74.6288,96.7326,52.1101,16.854,17.0069,11.8807,7.10997,4.68881,11.1197,1.95905,-0.28725,-0.408,97.6065,96.348
30780,53.4931,62.1601,69.1348,76.9988,98.6337,51.8881,16.8963,17.0886,12.1008,7.30693,4.86132,11.279,1.98371,0.337923,-0.02925,97.1381,96.6441
30720,54.7334,63.3444,69.4221,75.9961,97.8338,52.1738,16.9304,17.0607,11.9844,7.24166,4.79648,11.4213,2.03589,-0.195607,0.24875,97.1381,96.6441
30660,53.2058,61.8979,70.5688,75.5269,97.4551,53.3483,16.898,17.0484,11.9338,7.18499,4.75307,11.2689,2.01188,-0.109,-0.09025,97.1381,96.6441
30600,53.5049,62.9974,70.4176,77.1578,98.758,53.2017,16.9256,17.1054,12.0979,7.21923,4.85868,11.3848,2.03855,-0.06925,0.17625,97.1381,96.6441
30540,54.7246,63.1663,69.7035,77.2032,98.7896,52.4845,16.9291,17.1078,12.1197,7.1836,4.86117,11.4034,2.04621,-0.1275,0.223504,97.1381,96.6441
30480,54.9301,62.5655,69.7455,75.8165,97.6715,52.5383,16.9089,17.0557,11.9618,7.36771,4.85556,11.302,1.97979,0.1735,0.083,97.2165,96.3299
30420,53.9723,62.1369,68.8566,76.4423,98.1746,51.6377,16.8978,17.0769,12.0692,7.17278,4.84672,11.2951,2.01273,0.152,0.103428,97.2165,96.3299
30360,53.613,62.7146,70.0677,74.1119,96.3035,52.8721,16.9039,16.9905,11.782,7.2991,4.77082,11.3458,2.0043,0.197,0.274984,97.2165,96.3299
30300,53.8237,60.7417,69.3971,76.2947,98.0546,52.1806,16.8569,17.0619,12.0588,7.16493,4.79099,11.1418,1.96209,-0.14875,-0.35425,97.2165,96.3299
30240,54.465,63.4569,69.2627,77.4121,98.9652,52.0239,16.9284,17.1045,12.1341,7.24897,4.86738,11.4348,2.03015,0.130386,0.28225,97.2165,96.3299
30180,54.8299,64.2706,68.9458,77.2301,98.8267,51.6977,16.9531,17.1041,12.1045,7.36177,4.89109,11.5076,2.04248,0.414328,0.47575,96.9937,96.4181
30120,53.3149,63.6846,69.8305,74.4411,96.5848,52.6099,16.9348,17.0073,11.8164,7.16773,4.68655,11.4767,2.06008,-0.0631017,0.3405,96.9937,96.4181
30060,54.0363,62.3821,69.1468,76.4968,98.2311,51.9134,16.9038,17.0762,12.0692,7.15683,4.8072,11.3252,2.02028,-0.283,0.0315,96.9937,96.4181
30000,53.3893,61.0885,71.0839,76.9271,98.5798,53.8805,16.875,17.0917,12.0778,7.19568,4.81904,11.1818,1.97951,0.129856,-0.28125,96.9937,96.4181
29940,53.8326,62.4204,69.9514,76.1817,97.9838,52.7318,16.906,17.067,12.0045,7.22657,4.79845,11.3201,2.00713,0.19175,0.03975,96.9937,96.4181
29880,54.3381,61.3329,69.437,77.0666,98.6862,52.2117,16.8764,17.0925,12.1231,7.20793,4.84246,11.2015,1.97191,0.1225,-0.21925,97.399,96.2942
29820,54.7654,60.1782,69.3264,75.5114,97.4432,52.0967,16.8483,17.0396,11.9686,7.24442,4.77988,11.0584,1.9238,0.06825,-0.496,97.399,96.2942
29760,52.9927,61.7601,69.4836,76.2799,98.0544,52.2604,16.8843,17.0631,12.042,7.10766,4.75965,11.2699,2.00059,-0.1075,-0.1205,97.399,96.2942
29700,53.7062,60.2218,70.2008,75.7385,97.6371,52.9792,16.8543,17.0517,11.9833,7.12252,4.73686,11.0898,1.95967,-0.08325,-0.49,97.399,96.2942
29640,53.2392,60.1003,70.1792,75.1709,97.1762,52.9656,16.847,17.0295,11.9359,7.04753,4.68029,11.092,1.97216,-0.2145,-0.51225,97.399,96.2942
29580,53.0026,63.7647,69.5124,75.4185,97.3672,52.2885,16.9286,17.0311,11.9167,7.26485,4.76498,11.4759,2.0368,0.235,0.3585,97.3207,96.4152
