Time,TI3104_Meas - OP Value,TI3107_Meas - OP Value,TI3105_Meas - OP Value,TC3106_Meas - OP Value,TI3108_Meas - OP Value,TI3101_Meas - OP Value,PI3102_Meas - OP Value,PI3103_Meas - OP Value,FC3101_Meas - OP Value,FI3105_Meas - OP Value,FI3104_Meas - OP Value,FC3103_Meas - OP Value,FC3102_Meas - OP Value,LC3103_Meas - OP Value,LC3101_Meas - OP Value,QI3105 - PV,QI3104 - PV
40260,53.706,63.4804,69.3993,75.8336,97.6947,52.3161,16.8839,17.0705,15.4852,9.26825,6.13635,14.3424,2.57872,-0.1175,-0.157,96.5725,96.8754
40200,55.6679,63.4906,69.7251,76.2797,98.0554,52.3227,16.8437,17.0879,15.5314,9.44959,6.24385,14.0906,2.46945,0.20175,-0.5885,96.5725,96.8754
40140,53.5031,61.9395,69.7303,76.2646,98.053,51.4974,16.9574,17.0908,15.5201,9.20902,6.13364,14.6762,2.68594,-0.09025,0.52825,96.5725,96.8754
40080,53.8052,61.6281,68.861,75.077,97.0949,51.3314,16.9067,17.0444,15.4086,9.38061,6.1412,14.4418,2.58501,0.10675,0.092,97.2321,96.7269
40020,53.5646,62.1196,69.3124,75.6894,97.585,51.593,16.8965,17.0606,15.4945,9.2273,6.12413,14.4447,2.61988,-0.42775,0.039,97.2321,96.7269
39960,53.4824,61.3276,69.3044,75.7,97.5907,51.1601,16.8844,17.0526,15.5045,9.2607,6.13679,14.4197,2.59821,-0.3325,-0.00025,97.2321,96.7269
39900,53.8436,63.5948,69.6761,76.2928,98.078,52.3506,16.9315,17.0753,15.5025,9.20579,6.13667,14.6239,2.64792,-0.31875,0.3925,97.2321,96.7269
39840,55.06,62.7201,70.6157,77.5985,99.1348,51.8766,16.9335,17.1277,15.6388,9.30014,6.24308,14.5561,2.61307,-0.115001,0.30875,97.2321,96.7269
39780,55.2941,63.584,69.7955,76.4709,98.2204,52.3419,16.8694,17.0884,15.5491,9.26988,6.18521,14.2621,2.54139,-0.39225,-0.31325,96.6396,96.5685
39720,53.2529,63.9364,69.8237,76.5055,98.255,52.536,16.8845,17.1011,15.5388,9.30917,6.17507,14.2757,2.55502,0.06725,-0.28625,96.6396,96.5685
39660,52.4756,61.9744,68.3546,74.4304,96.577,51.5074,16.9121,17.032,15.3545,9.19095,6.02547,14.4464,2.6327,-0.33,0.02325,96.6396,96.5685
39600,53.6357,61.4175,69.874,76.4602,98.2029,51.2222,16.9225,17.107,15.5616,9.28383,6.1747,14.439,2.61405,0.02325,0.07225,96.6396,96.5685
39540,53.478,64.3275,69.6817,76.1371,97.9258,52.7913,16.8948,17.0894,15.505,9.31467,6.17496,14.3512,2.58523,0.0205,-0.10325,96.6396,96.5685
39480,54.3294,60.8707,70.2133,76.8351,98.4797,50.9524,16.9097,17.1083,15.6196,9.32155,6.227,14.4435,2.60293,-0.071,0.1095,96.724,96.4779
39420,53.9781,63.5505,69.4086,75.7397,97.6026,52.3763,16.9043,17.063,15.4822,9.22539,6.1367,14.4892,2.63627,-0.45775,0.14975,96.724,96.4779
39360,53.7399,64.0575,69.6622,76.1382,97.9242,52.6348,16.9227,17.0692,15.4875,9.29036,6.16606,14.5993,2.63561,-0.0375,0.38175,96.724,96.4779
39300,54.0123,62.5884,69.7752,76.3534,98.1146,51.8336,16.9344,17.0776,15.5229,9.19128,6.13366,14.6534,2.65865,-0.122,0.457,96.724,96.4779
39240,53.5349,61.7922,69.5672,76.1065,97.9315,51.3979,16.9234,17.0742,15.5137,9.2819,6.15771,14.5481,2.62858,-0.1755,0.27825,96.724,96.4779
39180,53.0355,63.6275,70.5351,77.4601,99.0176,52.3684,16.9038,17.1198,15.6415,9.31557,6.23726,14.4462,2.60011,-0.192,0.05725,97.0048,96.0747
